cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,2,1,11,1,0.00122983299934276,0,st,MI
1,1,2,11,1,0.00130654200074787,1,st,CR
0,2,6,35,1,0.00141954199989414,0,st,MI
0,2,2,11,1,0.00129137499970966,0,st,MI
1,1,1,11,1,0.00117483300073218,1,st,CR
1,2,2,11,1,0.0012172910001027,0,st,MI
0,1,1,23,1,0.00121458299963706,1,st,CR
1,1,6,11,1,0.00129766699956235,1,st,CR
1,2,2,11,1,0.00121416700039845,0,st,MI
0,2,3,35,2,0.00124041700019006,1,st,HI
1,2,2,35,1,0.00122458399982861,0,st,MI
1,2,3,23,1,0.00117491700075334,0,st,MI
0,2,3,23,1,0.00149650000003021,0,st,MI
0,1,4,35,1,0.00114637499973469,1,st,CR
1,1,4,35,1,0.00119391700081906,1,st,CR
0,2,6,11,1,0.00136154200026795,0,st,MI
1,2,4,35,1,0.00117095799942035,0,st,MI
1,2,1,35,1,0.00117795799997111,0,st,MI
1,1,5,23,1,0.00118308299988712,1,st,CR
1,1,5,35,1,0.00118129099973885,1,st,CR
0,1,3,35,1,0.00121483300063119,1,st,CR
0,2,3,23,1,0.00121237500025018,0,st,MI
1,1,5,23,1,0.00118745800045872,1,st,CR
0,2,1,23,1,0.00138454199986882,0,st,MI
1,2,2,35,1,0.00116379199971561,0,st,MI
0,1,3,23,1,0.00122625000039989,1,st,CR
1,2,4,35,2,0.00143083300008584,1,st,HI
0,2,3,35,2,0.00123920900023222,1,st,HI
0,1,4,23,2,0.0012424579999788,0,st,FA
1,1,4,11,1,0.00115629199990508,1,st,CR
1,2,6,35,1,0.00114537499939615,0,st,MI
0,2,6,23,1,0.00115875000028609,0,st,MI
1,2,6,23,1,0.0011530000001585,0,st,MI
1,2,3,23,1,0.00142570800016983,0,st,MI
0,2,6,23,1,0.00120562499978405,0,st,MI
0,1,2,35,1,0.00116395800068858,1,st,CR
1,2,6,11,1,0.00125695899987477,0,st,MI
1,1,2,23,1,0.00121620800018718,1,st,CR
0,2,3,11,1,0.00114974999996775,0,st,MI
0,2,1,35,1,0.00118837500031077,0,st,MI
0,2,2,11,1,0.0011499169995659,0,st,MI
1,1,4,23,1,0.0012016250002489,1,st,CR
0,1,1,35,1,0.00120512499961478,1,st,CR
1,2,3,35,1,0.00115104199994676,0,st,MI
1,2,4,23,1,0.00116554099986388,0,st,MI
1,1,2,35,1,0.00125154099987412,1,st,CR
0,2,1,35,2,0.00133520800045517,1,st,HI
0,2,2,35,2,0.00125225000010687,1,st,HI
0,2,6,35,2,0.00147266699968895,1,st,HI
1,1,2,35,1,0.00115270800051803,1,st,CR
